metric,status,value,numerator,denominator,sample_count,unit,scope,confidence_interval_95,bootstrap_unit,bootstrap_status,reason,reproduction_command
parse_success,fixture_observation,1,3,3,3,fixture_rate,software_verification_fixture,,parent_reaction_or_route_id,not_run_fixture_scope,"Observed only on three committed, pinned ReactSeq demo fixtures; not a population estimate or experimental result.",make release-evaluation
exact_precursor_reconstruction,fixture_observation,1,3,3,3,fixture_rate,software_verification_fixture,,parent_reaction_or_route_id,not_run_fixture_scope,"Observed only on three committed, pinned ReactSeq demo fixtures; not a population estimate or experimental result.",make release-evaluation
reaction_centre_precision,fixture_observation,1,,,3,mean_fixture_case_score,software_verification_fixture,,parent_reaction_or_route_id,not_run_fixture_scope,"Observed only on three committed, pinned ReactSeq demo fixtures; not a population estimate or experimental result.",make release-evaluation
reaction_centre_recall,fixture_observation,1,,,3,mean_fixture_case_score,software_verification_fixture,,parent_reaction_or_route_id,not_run_fixture_scope,"Observed only on three committed, pinned ReactSeq demo fixtures; not a population estimate or experimental result.",make release-evaluation
reaction_centre_f1,fixture_observation,1,,,3,mean_fixture_case_score,software_verification_fixture,,parent_reaction_or_route_id,not_run_fixture_scope,"Observed only on three committed, pinned ReactSeq demo fixtures; not a population estimate or experimental result.",make release-evaluation
completion_accuracy,not_run,,,,,,research_evaluation,,parent_reaction_or_route_id,not_run_missing_research_data,No licensed completion-support evaluation set with a frozen target definition is configured.,make release-evaluation
leaving_group_accuracy,fixture_observation,1,3,3,3,fixture_exact_match_rate,software_verification_fixture,,parent_reaction_or_route_id,not_run_fixture_scope,"Observed only on three committed, pinned ReactSeq demo fixtures; not a population estimate or experimental result.",make release-evaluation
stereo_retention,not_run,,,,,,research_evaluation,,parent_reaction_or_route_id,not_run_missing_research_data,The three pinned ReactSeq fixtures contain no evaluable stereo-retention target.,make release-evaluation
auroc,not_run,,,,,,research_evaluation,,parent_reaction_or_route_id,not_run_missing_research_data,"No licensed, adjudicated evidence-support evaluation set or selected calibrated research model is configured.",make release-evaluation
auprc,not_run,,,,,,research_evaluation,,parent_reaction_or_route_id,not_run_missing_research_data,"No licensed, adjudicated evidence-support evaluation set or selected calibrated research model is configured.",make release-evaluation
brier_score,not_run,,,,,,research_evaluation,,parent_reaction_or_route_id,not_run_missing_research_data,"No licensed, adjudicated evidence-support evaluation set or selected calibrated research model is configured.",make release-evaluation
expected_calibration_error,not_run,,,,,,research_evaluation,,parent_reaction_or_route_id,not_run_missing_research_data,"No licensed, adjudicated evidence-support evaluation set or selected calibrated research model is configured.",make release-evaluation
false_rejection_rate,not_run,,,,,,research_evaluation,,parent_reaction_or_route_id,not_run_missing_research_data,"No licensed, adjudicated evidence-support evaluation set or selected calibrated research model is configured.",make release-evaluation
false_acceptance_rate,not_run,,,,,,research_evaluation,,parent_reaction_or_route_id,not_run_missing_research_data,"No licensed, adjudicated evidence-support evaluation set or selected calibrated research model is configured.",make release-evaluation
selective_risk,not_run,,,,,,research_evaluation,,parent_reaction_or_route_id,not_run_missing_research_data,"No licensed, adjudicated evidence-support evaluation set or selected calibrated research model is configured.",make release-evaluation
coverage,not_run,,,,,,research_evaluation,,parent_reaction_or_route_id,not_run_missing_research_data,"No licensed, adjudicated evidence-support evaluation set or selected calibrated research model is configured.",make release-evaluation
high_novelty_false_rejection_rate,not_run,,,,,,research_evaluation,,parent_reaction_or_route_id,not_run_missing_research_data,No licensed recorded-reaction test set with frozen novelty strata and adjudicated support labels is configured.,make release-evaluation
